date,equity,cash
2022-01-03,100000.0,100000.0
2022-01-04,100000.0,100000.0
2022-01-05,100000.0,100000.0
2022-01-06,100000.0,100000.0
2022-01-07,100000.0,100000.0
2022-01-10,100000.0,100000.0
2022-01-11,100000.0,100000.0
2022-01-12,100000.0,100000.0
2022-01-13,100000.0,100000.0
2022-01-14,100000.0,100000.0
2022-01-17,100000.0,100000.0
2022-01-18,100000.0,100000.0
2022-01-19,99999.0,86546.0
2022-01-20,99999.0,86546.0
2022-01-21,99999.0,86546.0
2022-01-24,99999.0,86546.0
2022-01-25,99999.0,86546.0
2022-01-26,99999.0,86546.0
2022-01-27,99999.0,86546.0
2022-01-28,99999.0,86546.0
2022-01-31,99999.0,86546.0
2022-02-01,99999.0,86546.0
2022-02-02,99998.0,68013.0
2022-02-03,99998.0,68013.0
2022-02-04,99998.0,68013.0
2022-02-07,99998.0,68013.0
2022-02-08,99998.0,68013.0
2022-02-09,99998.0,68013.0
2022-02-10,99918.0,81386.0
2022-02-11,99917.0,68051.0
2022-02-14,99917.0,68051.0
2022-02-15,99917.0,68051.0
2022-02-16,99917.0,68051.0
2022-02-17,99917.0,68051.0
2022-02-18,99917.0,68051.0
2022-02-21,99437.0,80905.0
2022-02-22,99437.0,80905.0
2022-02-23,99436.0,67724.0
2022-02-24,99436.0,67724.0
2022-02-25,99436.0,67724.0
2022-02-28,99436.0,67724.0
2022-03-01,99436.0,67724.0
2022-03-02,99436.0,67724.0
2022-03-03,99436.0,67724.0
2022-03-04,99436.0,67724.0
2022-03-07,99436.0,67724.0
2022-03-08,99436.0,67724.0
2022-03-09,99436.0,67724.0
2022-03-10,99436.0,67724.0
2022-03-11,99436.0,67724.0
2022-03-14,99436.0,67724.0
2022-03-15,99436.0,67724.0
2022-03-16,99436.0,67724.0
2022-03-17,100345.0,87165.0
2022-03-18,100345.0,87165.0
2022-03-21,100345.0,87165.0
2022-03-22,100345.0,87165.0
2022-03-23,100345.0,87165.0
2022-03-24,100345.0,87165.0
2022-03-25,100345.0,87165.0
2022-03-28,100345.0,87165.0
2022-03-29,100345.0,87165.0
2022-03-30,100345.0,87165.0
2022-03-31,100935.0,89812.0
2022-04-01,100935.0,89812.0
2022-04-04,100935.0,89812.0
2022-04-05,100935.0,89812.0
2022-04-06,100935.0,89812.0
2022-04-07,100935.0,89812.0
2022-04-08,100935.0,89812.0
2022-04-11,100935.0,89812.0
2022-04-12,100935.0,89812.0
2022-04-13,100935.0,89812.0
2022-04-14,100935.0,89812.0
2022-04-15,100935.0,89812.0
2022-04-18,100935.0,89812.0
2022-04-19,100935.0,89812.0
2022-04-20,100935.0,89812.0
2022-04-21,100935.0,89812.0
2022-04-22,100935.0,89812.0
2022-04-25,100935.0,89812.0
2022-04-26,100935.0,89812.0
2022-04-27,100935.0,89812.0
2022-04-28,100935.0,89812.0
2022-04-29,100935.0,89812.0
2022-05-02,100935.0,89812.0
2022-05-03,100935.0,89812.0
2022-05-04,100935.0,89812.0
2022-05-05,100935.0,89812.0
2022-05-06,100935.0,89812.0
2022-05-09,100935.0,89812.0
2022-05-10,100935.0,89812.0
2022-05-11,100935.0,89812.0
2022-05-12,100935.0,89812.0
2022-05-13,100935.0,89812.0
2022-05-16,100935.0,89812.0
2022-05-17,100935.0,89812.0
2022-05-18,100935.0,89812.0
2022-05-19,100935.0,89812.0
2022-05-20,100935.0,89812.0
2022-05-23,100935.0,89812.0
2022-05-24,100935.0,89812.0
2022-05-25,100935.0,89812.0
2022-05-26,100935.0,89812.0
2022-05-27,101667.0,101667.0
2022-05-30,101667.0,101667.0
2022-05-31,101667.0,101667.0
2022-06-01,101667.0,101667.0
2022-06-02,101667.0,101667.0
2022-06-03,101667.0,101667.0
2022-06-06,101667.0,101667.0
2022-06-07,101667.0,101667.0
2022-06-08,101667.0,101667.0
2022-06-09,101667.0,101667.0
2022-06-10,101667.0,101667.0
2022-06-13,101667.0,101667.0
2022-06-14,101667.0,101667.0
2022-06-15,101667.0,101667.0
2022-06-16,101667.0,101667.0
2022-06-17,101667.0,101667.0
2022-06-20,101667.0,101667.0
2022-06-21,101667.0,101667.0
2022-06-22,101667.0,101667.0
2022-06-23,101667.0,101667.0
2022-06-24,101667.0,101667.0
2022-06-27,101667.0,101667.0
2022-06-28,101667.0,101667.0
2022-06-29,101667.0,101667.0
2022-06-30,101667.0,101667.0
2022-07-01,101667.0,101667.0
2022-07-04,101667.0,101667.0
2022-07-05,101666.0,86370.0
2022-07-06,101666.0,86370.0
2022-07-07,101666.0,86370.0
2022-07-08,101638.0,101638.0
2022-07-11,101638.0,101638.0
2022-07-12,101637.0,86646.0
2022-07-13,101637.0,86646.0
2022-07-14,101637.0,86646.0
2022-07-15,101637.0,86646.0
2022-07-18,101637.0,86646.0
2022-07-19,101637.0,86646.0
