timestamp,symbol,action,reason,confidence
,MSFT,BUY,单只股票仓位超限: 43.95% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 41.21% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 54.16% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 57.24% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 37.16% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 37.32% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 54.42% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 53.83% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 21.86% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 22.33% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 38.67% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 40.85% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 50.64% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 22.09% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 22.09% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 41.30% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 20.66% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 50.81% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 22.37% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 62.67% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 63.52% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 50.14% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 33.34% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 78.37% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 41.02% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 36.00% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 70.80% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 72.02% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 71.83% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 34.18% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 37.59% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 33.39% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 36.41% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 33.57% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 36.90% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 37.39% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 26.43% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 38.72% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 39.57% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 39.31% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 59.16% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 29.03% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 40.20% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 58.77% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 39.67% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 34.16% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 38.09% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 46.45% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 38.59% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 37.26% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 41.14% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 42.20% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 37.41% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 44.13% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 34.41% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 44.14% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 44.46% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 37.35% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 30.54% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 37.26% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 44.41% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 37.39% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 37.97% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 37.76% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 43.48% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 40.20% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 41.60% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 41.52% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 40.18% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 42.38% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 22.96% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 39.44% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 23.03% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 41.98% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 42.33% > 20.00%,
,AMZN,BUY,单只股票仓位超限: 41.92% > 20.00%,
,MSFT,BUY,单只股票仓位超限: 23.10% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 25.98% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 26.28% > 20.00%,
,NVDA,BUY,单只股票仓位超限: 23.16% > 20.00%,
