date,cash,equity,pnl
2023-01-02,100000.0,100000.0,0.0
2023-01-03,100000.0,100000.0,0.0
2023-01-04,100000.0,100000.0,0.0
2023-01-05,100000.0,100000.0,0.0
2023-01-06,100000.0,100000.0,0.0
2023-01-09,100000.0,100000.0,0.0
2023-01-10,100000.0,100000.0,0.0
2023-01-11,100000.0,100000.0,0.0
2023-01-12,100000.0,100000.0,0.0
2023-01-13,100000.0,100000.0,0.0
2023-01-16,100000.0,100000.0,0.0
2023-01-17,100000.0,100000.0,0.0
2023-01-18,100000.0,100000.0,0.0
2023-01-19,100000.0,100000.0,0.0
2023-01-20,100000.0,100000.0,0.0
2023-01-23,100000.0,100000.0,0.0
2023-01-24,100000.0,100000.0,0.0
2023-01-25,100000.0,100000.0,0.0
2023-01-26,100000.0,100000.0,0.0
2023-01-27,100000.0,100000.0,0.0
2023-01-30,100000.0,100000.0,0.0
2023-01-31,100000.0,100000.0,0.0
2023-02-01,100000.0,100000.0,0.0
2023-02-02,100000.0,100000.0,0.0
2023-02-03,100000.0,100000.0,0.0
2023-02-06,100000.0,100000.0,0.0
2023-02-07,100000.0,100000.0,0.0
2023-02-08,100000.0,100000.0,0.0
2023-02-09,100000.0,100000.0,0.0
2023-02-10,100000.0,100000.0,0.0
2023-02-13,100000.0,100000.0,0.0
2023-02-14,100000.0,100000.0,0.0
2023-02-15,100000.0,100000.0,0.0
2023-02-16,100000.0,100000.0,0.0
2023-02-17,100000.0,100000.0,0.0
2023-02-20,100000.0,100000.0,0.0
2023-02-21,100000.0,100000.0,0.0
2023-02-22,100000.0,100000.0,0.0
2023-02-23,100000.0,100000.0,0.0
2023-02-24,100000.0,100000.0,0.0
2023-02-27,100000.0,100000.0,0.0
2023-02-28,100000.0,100000.0,0.0
2023-03-01,100000.0,100000.0,0.0
2023-03-02,100000.0,100000.0,0.0
2023-03-03,100000.0,100000.0,0.0
2023-03-06,100000.0,100000.0,0.0
2023-03-07,84629.0,99789.0,-211.0
2023-03-08,84629.0,99910.0,-90.0
2023-03-09,84629.0,99688.0,-312.0
2023-03-10,84629.0,99479.0,-521.0
2023-03-13,84629.0,99676.0,-324.0
2023-03-14,84629.0,99888.0,-112.0
2023-03-15,84629.0,99928.0,-72.0
2023-03-16,84629.0,100129.0,129.0
2023-03-17,84629.0,100129.0,129.0
2023-03-20,84629.0,100369.0,369.0
2023-03-21,84629.0,100557.0,557.0
2023-03-22,84629.0,100824.0,824.0
2023-03-23,84629.0,100765.0,765.0
2023-03-24,84629.0,100654.0,654.0
2023-03-27,84629.0,100457.0,457.0
2023-03-28,84629.0,100394.0,394.0
2023-03-29,84629.0,100706.0,706.0
2023-03-30,84629.0,100865.0,865.0
2023-03-31,84629.0,101119.0,1119.0
2023-04-03,84629.0,101246.0,1246.0
2023-04-04,84629.0,101192.0,1192.0
2023-04-05,84629.0,101005.0,1005.0
2023-04-06,84629.0,101095.0,1095.0
2023-04-07,84629.0,101095.0,1095.0
2023-04-10,84629.0,100832.0,832.0
2023-04-11,84629.0,100639.0,639.0
2023-04-12,100750.0,100750.0,750.0
2023-04-13,100750.0,100750.0,750.0
2023-04-14,100750.0,100750.0,750.0
2023-04-17,100750.0,100750.0,750.0
2023-04-18,84139.0,100786.0,786.0
2023-04-19,84139.0,100902.0,902.0
2023-04-20,84139.0,100804.0,804.0
2023-04-21,84139.0,100641.0,641.0
2023-04-24,84139.0,100672.0,672.0
2023-04-25,84139.0,100515.0,515.0
2023-04-26,100445.0,100445.0,445.0
2023-04-27,100445.0,100445.0,445.0
2023-04-28,100445.0,100445.0,445.0
