date,cash,equity,pnl
2024-01-02,100000.0,100000.0,0.0
2024-01-03,100000.0,100000.0,0.0
2024-01-04,100000.0,100000.0,0.0
2024-01-05,100000.0,100000.0,0.0
2024-01-08,100000.0,100000.0,0.0
2024-01-09,100000.0,100000.0,0.0
2024-01-10,100000.0,100000.0,0.0
2024-01-11,100000.0,100000.0,0.0
2024-01-12,86743.0,100103.0,103.0
2024-01-16,86743.0,100444.0,444.0
2024-01-17,86743.0,100350.0,350.0
2024-01-18,86743.0,100071.0,71.0
2024-01-19,86743.0,100697.0,697.0
2024-01-22,86743.0,100440.0,440.0
2024-01-23,86743.0,100327.0,327.0
2024-01-24,86743.0,100208.0,208.0
2024-01-25,100406.0,100406.0,406.0
2024-01-26,100406.0,100406.0,406.0
2024-01-29,100406.0,100406.0,406.0
2024-01-30,87004.0,100338.0,338.0
2024-01-31,87004.0,100444.0,444.0
