date,cash,equity,pnl
2023-01-02,100000.0,100000.0,0.0
2023-01-03,100000.0,100000.0,0.0
2023-01-04,100000.0,100000.0,0.0
2023-01-05,100000.0,100000.0,0.0
2023-01-06,100000.0,100000.0,0.0
2023-01-09,100000.0,100000.0,0.0
2023-01-10,100000.0,100000.0,0.0
2023-01-11,100000.0,100000.0,0.0
2023-01-12,100000.0,100000.0,0.0
2023-01-13,100000.0,100000.0,0.0
2023-01-16,100000.0,100000.0,0.0
2023-01-17,100000.0,100000.0,0.0
2023-01-18,100000.0,100000.0,0.0
2023-01-19,100000.0,100000.0,0.0
2023-01-20,100000.0,100000.0,0.0
2023-01-23,100000.0,100000.0,0.0
2023-01-24,100000.0,100000.0,0.0
2023-01-25,100000.0,100000.0,0.0
2023-01-26,100000.0,100000.0,0.0
2023-01-27,100000.0,100000.0,0.0
2023-01-30,100000.0,100000.0,0.0
2023-01-31,100000.0,100000.0,0.0
2023-02-01,100000.0,100000.0,0.0
2023-02-02,100000.0,100000.0,0.0
2023-02-03,100000.0,100000.0,0.0
2023-02-06,100000.0,100000.0,0.0
2023-02-07,100000.0,100000.0,0.0
2023-02-08,100000.0,100000.0,0.0
2023-02-09,100000.0,100000.0,0.0
2023-02-10,100000.0,100000.0,0.0
2023-02-13,100000.0,100000.0,0.0
2023-02-14,100000.0,100000.0,0.0
2023-02-15,100000.0,100000.0,0.0
2023-02-16,100000.0,100000.0,0.0
2023-02-17,100000.0,100000.0,0.0
2023-02-20,100000.0,100000.0,0.0
2023-02-21,100000.0,100000.0,0.0
2023-02-22,100000.0,100000.0,0.0
2023-02-23,100000.0,100000.0,0.0
2023-02-24,100000.0,100000.0,0.0
2023-02-27,100000.0,100000.0,0.0
2023-02-28,100000.0,100000.0,0.0
2023-03-01,100000.0,100000.0,0.0
2023-03-02,100000.0,100000.0,0.0
2023-03-03,100000.0,100000.0,0.0
2023-03-06,100000.0,100000.0,0.0
2023-03-07,84621.315,99781.32,-218.68
2023-03-08,84621.315,99902.32,-97.68
2023-03-09,84621.315,99680.32,-319.68
2023-03-10,84621.315,99471.32,-528.68
2023-03-13,84621.315,99668.32,-331.68
2023-03-14,84621.315,99880.32,-119.68
2023-03-15,84621.315,99920.32,-79.68
2023-03-16,84621.315,100121.32,121.32
2023-03-17,84621.315,100121.32,121.32
2023-03-20,84621.315,100361.32,361.32
2023-03-21,84621.315,100549.32,549.32
2023-03-22,84621.315,100816.32,816.32
2023-03-23,84621.315,100757.32,757.32
2023-03-24,84621.315,100646.32,646.32
2023-03-27,84621.315,100449.32,449.32
2023-03-28,84621.315,100386.32,386.32
2023-03-29,84621.315,100698.32,698.32
2023-03-30,84621.315,100857.32,857.32
2023-03-31,84621.315,101111.32,1111.32
2023-04-03,84621.315,101238.32,1238.32
2023-04-04,84621.315,101184.32,1184.32
2023-04-05,84621.315,100997.32,997.32
2023-04-06,84621.315,101087.32,1087.32
2023-04-07,84621.315,101087.32,1087.32
2023-04-10,84621.315,100824.32,824.32
2023-04-11,84621.315,100631.32,631.32
2023-04-12,100734.254,100734.25,734.25
2023-04-13,100734.254,100734.25,734.25
2023-04-14,100734.254,100734.25,734.25
2023-04-17,100734.254,100734.25,734.25
2023-04-18,84114.949,100761.95,761.95
2023-04-19,84114.949,100877.95,877.95
2023-04-20,84114.949,100779.95,779.95
2023-04-21,84114.949,100616.95,616.95
2023-04-24,84114.949,100647.95,647.95
2023-04-25,84114.949,100490.95,490.95
2023-04-26,100412.7955,100412.8,412.8
2023-04-27,100412.7955,100412.8,412.8
2023-04-28,100412.7955,100412.8,412.8
