trade_id,timestamp,symbol,side,price,quantity,commission
T20240105000001,2024-01-05T00:00:00,GOOGL,BUY,134.146824,100,1.0
T20240110000002,2024-01-10T00:00:00,AAPL,BUY,128.265648,100,1.0
T20240130000003,2024-01-30T00:00:00,GOOGL,SELL,129.314132,100,1.0
T20240205000004,2024-02-05T00:00:00,AAPL,SELL,131.093776,100,1.0
T20240326000005,2024-03-26T00:00:00,AAPL,BUY,120.404076,100,1.0
T20240410000006,2024-04-10T00:00:00,AAPL,SELL,118.566282,100,1.0
T20240503000007,2024-05-03T00:00:00,AAPL,BUY,112.762548,100,1.0
T20240507000008,2024-05-07T00:00:00,GOOGL,BUY,149.67993,100,1.0
T20240522000009,2024-05-22T00:00:00,GOOGL,SELL,143.531288,100,1.0
T20240531000010,2024-05-31T00:00:00,AAPL,SELL,93.551286,100,1.0
