date,cash,equity,pnl
2024-01-02,100000.0,100000.0,0.0
2024-01-03,100000.0,100000.0,0.0
2024-01-04,100000.0,100000.0,0.0
2024-01-05,100000.0,100000.0,0.0
2024-01-08,100000.0,100000.0,0.0
2024-01-09,100000.0,100000.0,0.0
2024-01-10,100000.0,100000.0,0.0
2024-01-11,100000.0,100000.0,0.0
2024-01-12,100000.0,100000.0,0.0
2024-01-16,100000.0,100000.0,0.0
2024-01-17,86312.2632,99919.26,-80.74
2024-01-18,86312.2632,99640.26,-359.74
2024-01-19,86312.2632,100266.26,266.26
2024-01-22,86312.2632,100009.26,9.26
2024-01-23,86312.2632,99896.26,-103.74
2024-01-24,86312.2632,99777.26,-222.74
2024-01-25,86312.2632,100094.26,94.26
2024-01-26,86312.2632,99675.26,-324.74
2024-01-29,86312.2632,99441.26,-558.74
2024-01-30,86312.2632,99324.26,-675.74
2024-01-31,86312.2632,99156.26,-843.74
2024-02-01,86312.2632,99140.26,-859.74
2024-02-02,86312.2632,99189.26,-810.74
2024-02-05,86312.2632,99607.26,-392.74
2024-02-06,86312.2632,99261.26,-738.74
2024-02-07,86312.2632,99393.26,-606.74
2024-02-08,86312.2632,99715.26,-284.74
2024-02-09,86312.2632,99666.26,-333.74
2024-02-12,86312.2632,99969.26,-30.74
2024-02-13,86312.2632,99993.26,-6.74
2024-02-14,86312.2632,100004.26,4.26
2024-02-15,86312.2632,100241.26,241.26
2024-02-16,86312.2632,100322.26,322.26
2024-02-20,86312.2632,100053.26,53.26
2024-02-21,86312.2632,99999.26,-0.74
2024-02-22,86312.2632,100580.26,580.26
2024-02-23,86312.2632,100142.26,142.26
2024-02-26,86312.2632,100523.26,523.26
2024-02-27,86312.2632,100728.26,728.26
2024-02-28,86312.2632,100436.26,436.26
2024-02-29,86312.2632,100267.26,267.26
2024-03-01,86312.2632,100191.26,191.26
2024-03-04,86312.2632,100307.26,307.26
2024-03-05,86312.2632,99847.26,-152.74
2024-03-06,86312.2632,99542.26,-457.74
2024-03-07,86312.2632,99897.26,-102.74
2024-03-08,86312.2632,100030.26,30.26
2024-03-11,86312.2632,99759.26,-240.74
2024-03-12,86312.2632,99937.26,-62.74
2024-03-13,86312.2632,100210.26,210.26
2024-03-14,86312.2632,100353.26,353.26
2024-03-15,86312.2632,100452.26,452.26
2024-03-18,86312.2632,100716.26,716.26
2024-03-19,86312.2632,100560.26,560.26
2024-03-20,86312.2632,100802.26,802.26
2024-03-21,86312.2632,100799.26,799.26
2024-03-22,86312.2632,100787.26,787.26
2024-03-25,86312.2632,100572.26,572.26
2024-03-26,74270.8556,100516.86,516.86
2024-03-27,74270.8556,100431.86,431.86
2024-03-28,74270.8556,100242.86,242.86
2024-04-01,74270.8556,100285.86,285.86
2024-04-02,74270.8556,100485.86,485.86
2024-04-03,74270.8556,100652.86,652.86
2024-04-04,74270.8556,100970.86,970.86
2024-04-05,74270.8556,101025.86,1025.86
2024-04-08,74270.8556,101007.86,1007.86
2024-04-09,74270.8556,100881.86,881.86
2024-04-10,74270.8556,101153.86,1153.86
2024-04-11,74270.8556,101072.86,1072.86
2024-04-12,74270.8556,101693.86,1693.86
2024-04-15,74270.8556,102036.86,2036.86
2024-04-16,74270.8556,101891.86,1891.86
2024-04-17,74270.8556,101859.86,1859.86
2024-04-18,74270.8556,102046.86,2046.86
2024-04-19,74270.8556,101962.86,1962.86
2024-04-22,74270.8556,101611.86,1611.86
2024-04-23,74270.8556,101285.86,1285.86
2024-04-24,74270.8556,100470.86,470.86
2024-04-25,74270.8556,99896.86,-103.14
2024-04-26,74270.8556,99827.86,-172.14
2024-04-29,89335.8418,100141.84,141.84
2024-04-30,89335.8418,100216.84,216.84
2024-05-01,89335.8418,100368.84,368.84
2024-05-02,89335.8418,100562.84,562.84
2024-05-03,89335.8418,100546.84,546.84
2024-05-06,89335.8418,100687.84,687.84
2024-05-07,89335.8418,100738.84,738.84
2024-05-08,89335.8418,100560.84,560.84
2024-05-09,89335.8418,101133.84,1133.84
2024-05-10,89335.8418,100915.84,915.84
2024-05-13,89335.8418,100820.84,820.84
2024-05-14,89335.8418,100709.84,709.84
2024-05-15,89335.8418,100645.84,645.84
2024-05-16,89335.8418,100486.84,486.84
2024-05-17,89335.8418,100299.84,299.84
2024-05-20,89335.8418,100128.84,128.84
2024-05-21,89335.8418,100219.84,219.84
2024-05-22,89335.8418,99831.84,-168.16
2024-05-23,89335.8418,99849.84,-150.16
2024-05-24,89335.8418,99985.84,-14.16
2024-05-28,89335.8418,99426.84,-573.16
2024-05-29,89335.8418,99137.84,-862.16
2024-05-30,89335.8418,98685.84,-1314.16
2024-05-31,98689.9704,98689.97,-1310.03
2024-06-03,98689.9704,98689.97,-1310.03
2024-06-04,98689.9704,98689.97,-1310.03
2024-06-05,98689.9704,98689.97,-1310.03
