date,cash,equity,pnl
2024-01-02,100000.0,100000.0,0.0
2024-01-03,100000.0,100000.0,0.0
2024-01-04,100000.0,100000.0,0.0
2024-01-05,100000.0,100000.0,0.0
2024-01-08,100000.0,100000.0,0.0
2024-01-09,100000.0,100000.0,0.0
2024-01-10,100000.0,100000.0,0.0
2024-01-11,100000.0,100000.0,0.0
2024-01-12,100000.0,100000.0,0.0
2024-01-16,100000.0,100000.0,0.0
2024-01-17,100000.0,100000.0,0.0
2024-01-18,100000.0,100000.0,0.0
2024-01-19,100000.0,100000.0,0.0
2024-01-22,100000.0,100000.0,0.0
2024-01-23,100000.0,100000.0,0.0
2024-01-24,100000.0,100000.0,0.0
2024-01-25,100000.0,100000.0,0.0
2024-01-26,86384.2776,99747.28,-252.72
2024-01-29,86384.2776,99513.28,-486.72
2024-01-30,86384.2776,99396.28,-603.72
2024-01-31,86384.2776,99228.28,-771.72
2024-02-01,86384.2776,99212.28,-787.72
2024-02-02,86384.2776,99261.28,-738.72
2024-02-05,86384.2776,99679.28,-320.72
2024-02-06,86384.2776,99333.28,-666.72
2024-02-07,73587.719,99570.72,-429.28
2024-02-08,73587.719,99956.72,-43.28
2024-02-09,73587.719,99573.72,-426.28
2024-02-12,73587.719,99520.72,-479.28
2024-02-13,73587.719,99594.72,-405.28
2024-02-14,73587.719,99493.72,-506.28
2024-02-15,73587.719,99533.72,-466.28
2024-02-16,73587.719,99850.72,-149.28
2024-02-20,73587.719,99040.72,-959.28
2024-02-21,99028.6294,99028.63,-971.37
2024-02-22,99028.6294,99028.63,-971.37
2024-02-23,84999.8244,98829.82,-1170.18
2024-02-26,84999.8244,99210.82,-789.18
2024-02-27,84999.8244,99415.82,-584.18
2024-02-28,84999.8244,99123.82,-876.18
2024-02-29,84999.8244,98954.82,-1045.18
2024-03-01,84999.8244,98878.82,-1121.18
2024-03-04,84999.8244,98994.82,-1005.18
2024-03-05,84999.8244,98534.82,-1465.18
2024-03-06,98700.0836,98700.08,-1299.92
2024-03-07,98700.0836,98700.08,-1299.92
2024-03-08,87171.7786,98881.78,-1118.22
2024-03-11,87171.7786,98598.78,-1401.22
2024-03-12,87171.7786,98499.78,-1500.22
2024-03-13,73384.0218,98689.02,-1310.98
2024-03-14,73384.0218,98779.02,-1220.98
2024-03-15,73384.0218,98751.02,-1248.98
2024-03-18,73384.0218,98770.02,-1229.98
2024-03-19,73384.0218,98658.02,-1341.98
2024-03-20,73384.0218,99125.02,-874.98
2024-03-21,73384.0218,99316.02,-683.98
2024-03-22,73384.0218,99374.02,-625.98
2024-03-25,73384.0218,99487.02,-512.98
2024-03-26,73384.0218,99630.02,-369.98
2024-03-27,73384.0218,99545.02,-454.98
2024-03-28,73384.0218,99356.02,-643.98
2024-04-01,73384.0218,99399.02,-600.98
2024-04-02,73384.0218,99599.02,-400.98
2024-04-03,73384.0218,99766.02,-233.98
2024-04-04,73384.0218,100084.02,84.02
2024-04-05,73384.0218,100139.02,139.02
2024-04-08,73384.0218,100121.02,121.02
2024-04-09,73384.0218,99995.02,-4.98
2024-04-10,73384.0218,100267.02,267.02
2024-04-11,73384.0218,100186.02,186.02
2024-04-12,73384.0218,100807.02,807.02
2024-04-15,73384.0218,101150.02,1150.02
2024-04-16,73384.0218,101005.02,1005.02
2024-04-17,73384.0218,100973.02,973.02
2024-04-18,73384.0218,101160.02,1160.02
2024-04-19,73384.0218,101076.02,1076.02
2024-04-22,73384.0218,100725.02,725.02
2024-04-23,73384.0218,100399.02,399.02
2024-04-24,73384.0218,99584.02,-415.98
2024-04-25,73384.0218,99010.02,-989.98
2024-04-26,73384.0218,98941.02,-1058.98
2024-04-29,73384.0218,99666.02,-333.98
2024-04-30,73384.0218,99301.02,-698.98
2024-05-01,73384.0218,99341.02,-658.98
2024-05-02,88547.9882,99774.99,-225.01
2024-05-03,88547.9882,99758.99,-241.01
2024-05-06,88547.9882,99899.99,-100.01
2024-05-07,88547.9882,99950.99,-49.01
2024-05-08,88547.9882,99772.99,-227.01
2024-05-09,99991.6988,99991.7,-8.3
2024-05-10,99991.6988,99991.7,-8.3
2024-05-13,99991.6988,99991.7,-8.3
2024-05-14,99991.6988,99991.7,-8.3
2024-05-15,85378.777,100148.78,148.78
2024-05-16,85378.777,100155.78,155.78
2024-05-17,85378.777,100254.78,254.78
2024-05-20,85378.777,99827.78,-172.22
2024-05-21,85378.777,99498.78,-501.22
2024-05-22,85378.777,99370.78,-629.22
2024-05-23,85378.777,98804.78,-1195.22
2024-05-24,85378.777,98933.78,-1066.22
2024-05-28,85378.777,99074.78,-925.22
2024-05-29,85378.777,99337.78,-662.22
2024-05-30,85378.777,99949.78,-50.22
2024-05-31,85378.777,100118.78,118.78
2024-06-03,85378.777,100135.78,135.78
2024-06-04,85378.777,99586.78,-413.22
2024-06-05,85378.777,99164.78,-835.22
