date,cash,equity,pnl
2025-10-06,100000.0,100000.0,0.0
2025-10-07,100000.0,100000.0,0.0
2025-10-08,100000.0,100000.0,0.0
2025-10-09,100000.0,100000.0,0.0
2025-10-10,100000.0,100000.0,0.0
2025-10-13,100000.0,100000.0,0.0
2025-10-14,100000.0,100000.0,0.0
2025-10-15,100000.0,100000.0,0.0
2025-10-16,100000.0,100000.0,0.0
2025-10-17,100000.0,100000.0,0.0
2025-10-20,100000.0,100000.0,0.0
2025-10-21,100000.0,100000.0,0.0
2025-10-22,87409.0,100034.0,34.0
2025-10-23,87409.0,100224.0,224.0
2025-10-24,87409.0,100400.0,400.0
2025-10-27,87409.0,100377.0,377.0
2025-10-28,87409.0,100661.0,661.0
2025-10-29,87409.0,100403.0,403.0
2025-10-30,87409.0,100492.0,492.0
2025-10-31,100593.0,100593.0,593.0
2025-11-03,100593.0,100593.0,593.0
2025-11-04,100593.0,100593.0,593.0
2025-11-05,100593.0,100593.0,593.0
2025-11-06,100593.0,100593.0,593.0
2025-11-07,100593.0,100593.0,593.0
2025-11-10,100593.0,100593.0,593.0
2025-11-11,100593.0,100593.0,593.0
2025-11-12,100593.0,100593.0,593.0
2025-11-13,100593.0,100593.0,593.0
2025-11-14,100593.0,100593.0,593.0
2025-11-17,100593.0,100593.0,593.0
2025-11-18,100593.0,100593.0,593.0
2025-11-19,100593.0,100593.0,593.0
2025-11-20,100593.0,100593.0,593.0
2025-11-21,100593.0,100593.0,593.0
2025-11-24,100593.0,100593.0,593.0
2025-11-25,100593.0,100593.0,593.0
2025-11-26,100593.0,100593.0,593.0
2025-11-27,100593.0,100593.0,593.0
2025-11-28,100593.0,100593.0,593.0
2025-12-01,100593.0,100593.0,593.0
2025-12-02,100593.0,100593.0,593.0
2025-12-03,100593.0,100593.0,593.0
2025-12-04,100593.0,100593.0,593.0
2025-12-05,100593.0,100593.0,593.0
2025-12-08,89308.0,100564.0,564.0
2025-12-09,89308.0,100950.0,950.0
2025-12-10,89308.0,101018.0,1018.0
2025-12-11,89308.0,100735.0,735.0
2025-12-12,89308.0,100636.0,636.0
2025-12-15,89308.0,100715.0,715.0
2025-12-16,89308.0,100662.0,662.0
2025-12-17,89308.0,100535.0,535.0
2025-12-18,89308.0,100290.0,290.0
2025-12-19,89308.0,100334.0,334.0
2025-12-22,89308.0,100559.0,559.0
2025-12-23,89308.0,100753.0,753.0
2025-12-24,89308.0,100823.0,823.0
2025-12-25,89308.0,101151.0,1151.0
2025-12-26,89308.0,101203.0,1203.0
2025-12-29,89308.0,100966.0,966.0
2025-12-30,89308.0,100842.0,842.0
2025-12-31,89308.0,101086.0,1086.0
2026-01-01,89308.0,101325.0,1325.0
2026-01-02,89308.0,101183.0,1183.0
2026-01-05,89308.0,101329.0,1329.0
2026-01-06,89308.0,101576.0,1576.0
2026-01-07,89308.0,101471.0,1471.0
2026-01-08,89308.0,100977.0,977.0
2026-01-09,89308.0,101334.0,1334.0
2026-01-12,89308.0,101550.0,1550.0
2026-01-13,89308.0,101570.0,1570.0
2026-01-14,89308.0,101817.0,1817.0
2026-01-15,89308.0,101669.0,1669.0
2026-01-16,89308.0,101300.0,1300.0
2026-01-19,89308.0,101450.0,1450.0
2026-01-20,89308.0,101217.0,1217.0
2026-01-21,89308.0,100868.0,868.0
2026-01-22,89308.0,100561.0,561.0
2026-01-23,89308.0,100511.0,511.0
2026-01-26,89308.0,100160.0,160.0
2026-01-27,89308.0,100053.0,53.0
2026-01-28,89308.0,99953.0,-47.0
2026-01-29,89308.0,100197.0,197.0
2026-01-30,89308.0,100127.0,127.0
