date,cash,equity,pnl
2023-01-02,100000.0,100000.0,0.0
2023-01-03,100000.0,100000.0,0.0
2023-01-04,100000.0,100000.0,0.0
2023-01-05,100000.0,100000.0,0.0
2023-01-06,100000.0,100000.0,0.0
2023-01-09,100000.0,100000.0,0.0
2023-01-10,100000.0,100000.0,0.0
2023-01-11,100000.0,100000.0,0.0
2023-01-12,100000.0,100000.0,0.0
2023-01-13,100000.0,100000.0,0.0
2023-01-16,100000.0,100000.0,0.0
2023-01-17,100000.0,100000.0,0.0
2023-01-18,100000.0,100000.0,0.0
2023-01-19,100000.0,100000.0,0.0
2023-01-20,100000.0,100000.0,0.0
2023-01-23,100000.0,100000.0,0.0
2023-01-24,100000.0,100000.0,0.0
2023-01-25,100000.0,100000.0,0.0
2023-01-26,100000.0,100000.0,0.0
2023-01-27,100000.0,100000.0,0.0
2023-01-30,100000.0,100000.0,0.0
2023-01-31,100000.0,100000.0,0.0
