date,cash,equity,pnl
2025-09-04,100000.0,100000.0,0.0
2025-09-05,100000.0,100000.0,0.0
2025-09-08,100000.0,100000.0,0.0
2025-09-09,100000.0,100000.0,0.0
2025-09-10,100000.0,100000.0,0.0
2025-09-11,100000.0,100000.0,0.0
2025-09-12,100000.0,100000.0,0.0
2025-09-15,100000.0,100000.0,0.0
2025-09-16,100000.0,100000.0,0.0
2025-09-17,100000.0,100000.0,0.0
2025-09-18,100000.0,100000.0,0.0
2025-09-19,100000.0,100000.0,0.0
2025-09-22,82222.0,100000.0,0.0
2025-09-23,82222.0,100105.0,105.0
2025-09-24,82222.0,100116.0,116.0
2025-09-25,82222.0,100425.0,425.0
2025-09-26,82222.0,100376.0,376.0
2025-09-29,82222.0,100507.0,507.0
2025-09-30,82222.0,100837.0,837.0
2025-10-01,82222.0,100678.0,678.0
2025-10-02,82222.0,100627.0,627.0
2025-10-03,82222.0,100813.0,813.0
2025-10-06,82222.0,101306.0,1306.0
2025-10-07,82222.0,100722.0,722.0
2025-10-08,82222.0,100495.0,495.0
2025-10-09,82222.0,100370.0,370.0
2025-10-10,82222.0,100578.0,578.0
2025-10-13,82222.0,100485.0,485.0
2025-10-14,82222.0,100373.0,373.0
2025-10-15,82222.0,100194.0,194.0
2025-10-16,82222.0,100302.0,302.0
2025-10-17,82222.0,100546.0,546.0
2025-10-20,82222.0,99911.0,-89.0
2025-10-21,99863.0,99863.0,-137.0
2025-10-22,99863.0,99863.0,-137.0
2025-10-23,99863.0,99863.0,-137.0
2025-10-24,99863.0,99863.0,-137.0
2025-10-27,99863.0,99863.0,-137.0
2025-10-28,81978.0,99665.0,-335.0
2025-10-29,81978.0,99580.0,-420.0
2025-10-30,81978.0,99467.0,-533.0
2025-10-31,81978.0,98998.0,-1002.0
2025-11-03,81978.0,98986.0,-1014.0
2025-11-04,81978.0,98470.0,-1530.0
2025-11-05,81978.0,98431.0,-1569.0
2025-11-06,81978.0,98062.0,-1938.0
2025-11-07,81978.0,97975.0,-2025.0
2025-11-10,81978.0,97989.0,-2011.0
2025-11-11,81978.0,98039.0,-1961.0
2025-11-12,81978.0,98643.0,-1357.0
2025-11-13,81978.0,98915.0,-1085.0
2025-11-14,81978.0,98665.0,-1335.0
2025-11-17,81978.0,99184.0,-816.0
2025-11-18,81978.0,99173.0,-827.0
2025-11-19,81978.0,98677.0,-1323.0
2025-11-20,81978.0,98359.0,-1641.0
2025-11-21,98089.0,98089.0,-1911.0
2025-11-24,98089.0,98089.0,-1911.0
2025-11-25,98089.0,98089.0,-1911.0
2025-11-26,98089.0,98089.0,-1911.0
2025-11-27,98089.0,98089.0,-1911.0
2025-11-28,98089.0,98089.0,-1911.0
2025-12-01,98089.0,98089.0,-1911.0
2025-12-02,98089.0,98089.0,-1911.0
2025-12-03,98089.0,98089.0,-1911.0
2025-12-04,81249.0,97573.0,-2427.0
2025-12-05,81249.0,97745.0,-2255.0
2025-12-08,81249.0,97807.0,-2193.0
2025-12-09,81249.0,98045.0,-1955.0
2025-12-10,81249.0,98090.0,-1910.0
2025-12-11,81249.0,97859.0,-2141.0
2025-12-12,81249.0,98265.0,-1735.0
2025-12-15,81249.0,98408.0,-1592.0
2025-12-16,81249.0,98505.0,-1495.0
2025-12-17,81249.0,98553.0,-1447.0
2025-12-18,81249.0,99304.0,-696.0
2025-12-19,81249.0,99482.0,-518.0
2025-12-22,81249.0,98918.0,-1082.0
2025-12-23,81249.0,99101.0,-899.0
2025-12-24,81249.0,99281.0,-719.0
2025-12-25,81249.0,98937.0,-1063.0
2025-12-26,81249.0,99297.0,-703.0
2025-12-29,81249.0,99575.0,-425.0
2025-12-30,81249.0,99209.0,-791.0
2025-12-31,81249.0,99160.0,-840.0
2026-01-01,81249.0,99463.0,-537.0
2026-01-02,81249.0,98808.0,-1192.0
2026-01-05,81249.0,99131.0,-869.0
2026-01-06,81249.0,99321.0,-679.0
2026-01-07,81249.0,99306.0,-694.0
2026-01-08,81249.0,99454.0,-546.0
2026-01-09,81249.0,99579.0,-421.0
2026-01-12,81249.0,98999.0,-1001.0
2026-01-13,81249.0,99065.0,-935.0
2026-01-14,99263.0,99263.0,-737.0
2026-01-15,99263.0,99263.0,-737.0
2026-01-16,80898.0,99280.0,-720.0
2026-01-19,80898.0,100006.0,6.0
2026-01-20,80898.0,100187.0,187.0
2026-01-21,80898.0,99642.0,-358.0
2026-01-22,80898.0,98966.0,-1034.0
2026-01-23,80898.0,98676.0,-1324.0
2026-01-26,80898.0,98753.0,-1247.0
2026-01-27,80898.0,98455.0,-1545.0
2026-01-28,80898.0,97961.0,-2039.0
2026-01-29,80898.0,97577.0,-2423.0
2026-01-30,80898.0,97773.0,-2227.0
